PuzzleNum,Title,Pieces,Company,puzzle_size
1,Lighthouse,500,Re-marks,24 X 18
2,Cakes,500,Galison,20 X 20
3,More Ice Cream Please,500,Cobble Hill,24 X 18
4,Artsy Cats,500,Mudpuppy,20 X 20
5,Air Mail,500,Re-marks,20 X 16
6,Alpaca Lunch,500,Ravensburger,19.5 X 14.25
7,Kitchen Cupboard,500,Ravensburger,19.5 X 14.25
8,99 Beautiful Places,500,Ravensburger,19.5 X 14.25
9,Songbirds,500,Mudpuppy,20 X 20
10,Marbles,500,Galison,20 X 20
11,60 American National Parks,500,True South,18 X 24
12,Visting the Mansion,500,Ravensburger,19.5 X 14.25
13,Black Beauty Carousel Horse,500,Colorluxe,24 X 18
14,Teddy Bear Workshop,500,Cobble Hill,24 X 18
15,Doughnuts,500,Cobble Hill,24 X 18
16,Pretty Birds,500,Buffalo,21.25 X 15
17,Bicycle,500,Re-marks,20 X 16
18,Spring Flowers,500,Galison,20 X 20
19,The Bizarre Workshop,500,Ravensburger,19.5 X 14.25
20,Floral Reflections,500,Ravensburger,19.5 X 14.25
21,Snack Treats,500,Springbok,23.5 X 18
22,Oh Buoy!,500,Springbok,23.5 X 18
23,Colorful Yarn,500,Springbok,20 X 20
24,Butterfly Frenzy,500,Springbok,23.5 X 18
25,Shelter From the Storm,500,Bits and Pieces,24 X 18
26,Prima Ballerina,500,Ravensburger,19.5 X 14.25
27,A Licenese to Life,500,Ravensburger,19.5 X 14.25
28,Donuts n' Coffee,500,Springbok,23.5 X 18
29,Pencil Pushers,500,Springbok,23.5 X 18
30,Christmas Creations,500,Springbok,20 X 20
31,Winters Wish,500,Springbok,23.5 X 18
32,Delightful Donuts,300,Buffalo,18 X 18
33,Succulents,300,Ceaco,24 X 18
34,Sushi,550,Ceaco,24 X 18
35,Bon Appetit,300,Ceaco,19 X 19
36,Gnome Sweet Gnome,300,Ceaco,19 X 19
37,Root Beer at the Butterfields,300,Buffalo,21.5 X 15
38,Donut Resist,300,Master Pieces,24 X 18
39,Este' MacLeod,300,Ceaco,19 X 19
40,Mickey and Minnie in Paris,300,Ceaco,24 X 18
41,Rainbow Buttons,750,Ceaco,24 X 18
42,Frederick the Literate,750,Buffalo,24 X 18
43,"Bobons, Sweets, Dulces",750,Ceaco,18 X 24
44,Seaside,750,Ceaco,24 round
45,Beachcombers,750,Buffalo,24 X 18
46,Rainbow Marbles,750,Ceaco,24 X 18
47,License Plates,750,Re-marks,18 X 24
48,Plumes of Color,300,Buffalo,21.25 X 15
49,Autumn Sail,300,Master Pieces,24 X 18
50,Mandala Stones,300,Buffalo,18 X 18
51,Grandiose Greece,1000,Ravensburger,27 X 20
52,Garden Bridge,1000,Master Pieces,26.75 X 19.25
53,Drops of Color,300,Buffalo,21.25 X 15
54,Rainbow Clownfish,550,Ceaco,18 X 24
55,Banana Split,1000,Buffalo,26.75 X 19.75
56,Harry Potter Collage,1000,New York Puzzle Company,26.75 X 19.25
57,Happiness Blooms,500,Lang,24 X 18
58,Peanuts,500,Aquarius,19 X 14
59,Escape Puzzle,759,Ravensburger,27 X 20
60,Icing on the Cake,500,Springbok,18 X 23.5
61,Harvest Festival,500,Dowdle,20 X 16
62,Ski Park City,500,Dowdle,20 X 16
63,Three Little Pigs,100,Dowdle,20 X 16
64,Ice Cream Dream,1000,Chronicle Books,25 X 20
65,Marvel,1000,Aquarius,20 X 28
66,Feathered Friends,350,Springbok,18 X 23.5
67,Board Games,500,Springbok,20 X 20
68,Cookies & Christmas,500,Springbok,20 X 20
69,Cupcakes,350,Springbok,18 X 23.5
70,Ship Portal,100,Great American Puzzle Factory,13 round
71,Minnesota Nice up North,550,Puzzles that Rock,18 X 24
72,Lake Superior Agates,550,Erickson Post,24 X 18
73,Vintage Library,1000,Galison,27 X 20
74,Butterflies Rock Puddingstone Perch,550,Puzzle that Rock,24 X 18
75,Sea Horsing Around,300,Ravensburger,24 X 18
76,Grandma's Cookies,400,Springbok,27 X 20.5
77,Chocolate Overload,300,Ravensburger,27 X 20
78,Doggie Delight,300,Ravensburger,24 X 18
79,Beautiful Horses,200,Ravensburger,14.25 X 19.3
80,The Fishing Cabin,1000,Eurographics,26.75 X 19.25
81,Peace and Joy,1000,Go! Games,19.6 X 29.5
82,Horse Dream,100,Ravensburger,19.3 X 14.25
83,WIld Jungle,100,Ravensburger,19.3 X 14.25
84,The Solar System,200,Ravensburger,19.3 X 14.25
85,The Christmas Fair,200,Ravensburger,19.3 X 14.25
86,The Imaginaries,300,Ravensburger,19.3 X 14.25
87,Sweet Tooth,1000,Springbok,30 X 24
88,Go Fly a Kite,380,Ravensburger,26.6 X 10.25
89,MN Abbey Road,500,Maynards,18 X 24
90,Song for the Season,500,Cobble Hill,26.6 X 19.25
91,Father's Day Ties,500,Cobble Hill,24 X 18
92,Welcome to My Garden,500,Cobble Hill,24 X 18
93,"Love, Home, Family, Friends",400,Springbok,26.75 X 20.5
94,Autumn Birds,500,Ravensburger,27 X 20
95,Drive-thru Route 66,500,Ravensburger,27 X 20
96,Weekend Escape,500,Ravensburger,27 X 20
97,Underwater Smiles,500,Ravensburger,27 X 20
98,Minnesota Spirit,1000,Puzzle Twist,19.25 X 26.6
99,State Plates,400,Springbok,27 X 20.5
100,Cabin Rules,1000,Puzzle Twist,19.25 X 26.6
101,Boat Parade,1000,Spilsbury Puzzle Co,26.75 X 19
102,A Rainbow in Bloom,70,Springbok,7 X 7 (Qty 6)
103,Candy Galore,1000,Springbok,30 X 24
104,Ugly Christmas Sweaters,1000,Cobble Hill,26.6 X 19.25
105,The Artist's Desk,1000,Ravensburger,27 X 20
106,Disney Pixar Movies,1000,Ravensburger,27 X 20
107,Scorceror's Apprentice,500,Ceaco,18 X 14
108,Disney Chefs,750,Ceaco,24 X 18
109,Dining Mickey & Minnie,500,Ceaco,18 X 14
110,Sitting Mickey & Minnie,300,Ceaco,11 X 15
111,Danicing Mickey & Minnie,300,Ceaco,11 X 15
112,Grand Canyon National Park,750,Professor Puzzle,24 X 15
113,Bryce National Park,500,Professor Puzzle,19 X 14
114,Grand Teton National Park,1000,Professor Puzzle,29 X 19
115,Yosemite National Park,500,Professor Puzzle,19 X 14
116,Joshua Tree National Park,500,Professor Puzzle,19 X 14
117,Yellowstone National Park,750,Professor Puzzle,24 X 15
118,Glacier National Park,500,Professor Puzzle,19 X 14
119,Unknown,1000,unknown,
120,Family Vacation,2000,Buffalo,38.5 X 26.5
121,Ideal Bookshelf,1000,Galison,27 X 20.5
122,Singbird Serenade,500,Puzzle Twist,24 X 18
123,Underwater Seascape,500,Springbok,23.5 X 18
